name,fluentd.limits.cpu,fluentd.limits.memory,fluentd.requests.cpu,fluentd.requests.memory,memcached.limits.cpu,memcached.limits.memory,memcached.requests.cpu,memcached.requests.memory,mysql.limits.cpu,mysql.limits.memory,mysql.requests.cpu,mysql.requests.memory,nfsServer.limits.cpu,nfsServer.limits.memory,nfsServer.requests.cpu,nfsServer.requests.memory,nginx.limits.cpu,nginx.limits.memory,nginx.requests.cpu,nginx.requests.memory,php.limits.cpu,php.limits.memory,php.requests.cpu,php.requests.memory,sftp.limits.cpu,sftp.limits.memory,sftp.requests.cpu,sftp.requests.memory,sftpAuth.limits.cpu,sftpAuth.limits.memory,sftpAuth.requests.cpu,sftpAuth.requests.memory,storage.limits.cpu,storage.limits.memory,storage.requests.cpu,storage.requests.memory,telegraf.limits.cpu,telegraf.limits.memory,telegraf.requests.cpu,telegraf.requests.memory,varnish.limits.cpu,varnish.limits.memory,varnish.requests.cpu,varnish.requests.memory,wpenginex.limits.cpu,wpenginex.limits.memory,wpenginex.requests.cpu,wpenginex.requests.memory
p7-php-xl-v0,N/A,N/A,N/A,N/A,4000m,7500Mi,2000m,1500Mi,6000m,69426Mi,3250m,18514Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,3200m,1946Mi,30000m,32000Mi,20000m,1200Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,14433Mi,100m,3500Mi,1500m,1500Mi,100m,256Mi
p6,N/A,N/A,N/A,N/A,3000m,6299Mi,1500m,1000Mi,4000m,54121Mi,2000m,14871Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,3200m,1946Mi,14000m,19500Mi,14000m,5333Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,2000m,10430Mi,100m,2608Mi,3000m,2000Mi,100m,256Mi
p5-db-v0,N/A,N/A,N/A,N/A,2000m,4777Mi,1000m,500Mi,7200m,43905Mi,1500m,27297Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2000m,1946Mi,10500m,12000Mi,10500m,4000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,6632Mi,100m,1658Mi,1250m,1260Mi,100m,256Mi
p10-dense-xl-v0,N/A,N/A,N/A,N/A,4000m,11100Mi,3500m,1500Mi,6000m,86000Mi,3000m,31000Mi,500m,198Mi,100m,198Mi,4000m,76294Mi,4000m,30646Mi,28000m,32000Mi,28000m,10100Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,3000m,26500Mi,100m,6500Mi,5000m,4000Mi,100m,256Mi
p7,N/A,N/A,N/A,N/A,4000m,7500Mi,2000m,1500Mi,4500m,65426Mi,2250m,18514Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,3200m,1946Mi,17500m,24000Mi,17500m,6500Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,2000m,14433Mi,100m,3500Mi,3500m,2500Mi,100m,256Mi
p8-dense-xl-v0,N/A,N/A,N/A,N/A,4000m,8700Mi,2500m,1500Mi,5000m,64250Mi,2500m,23000Mi,500m,198Mi,100m,198Mi,4000m,57220Mi,4000m,22000Mi,21000m,24000Mi,21000m,7700Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,3000m,18500Mi,100m,4500Mi,4000m,3000Mi,100m,256Mi
p6-php-xl-v0,N/A,N/A,N/A,N/A,3000m,6299Mi,1500m,1000Mi,5500m,57621Mi,3000m,14871Mi,500m,198Mi,100m,198Mi,3000m,6144Mi,2500m,1946Mi,24000m,28000Mi,17000m,10000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,10430Mi,100m,2608Mi,1250m,1500Mi,100m,256Mi
p8-php-xl-v0,N/A,N/A,N/A,N/A,4000m,8700Mi,2500m,1500Mi,7000m,83000Mi,3500m,23000Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,4000m,1946Mi,36000m,38000Mi,28000m,18000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,18500Mi,100m,4500Mi,1500m,1500Mi,100m,256Mi
p10-php-xl-v0,N/A,N/A,N/A,N/A,4000m,11100Mi,3500m,1500Mi,7500m,109000Mi,4000m,31000Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,4000m,1946Mi,42000m,40000Mi,32000m,19000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,26500Mi,100m,6500Mi,1500m,1500Mi,100m,256Mi
p8-dense-v0,N/A,N/A,N/A,N/A,4000m,8700Mi,2500m,1500Mi,5000m,70644Mi,2500m,20000Mi,500m,198Mi,100m,198Mi,9000m,20000Mi,4000m,4946Mi,22000m,24000Mi,21000m,7700Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,18500Mi,100m,4500Mi,1500m,1500Mi,100m,256Mi
p5-php-v0,N/A,N/A,N/A,N/A,2000m,4777Mi,1000m,500Mi,3600m,39567Mi,1500m,11151Mi,500m,99Mi,100m,99Mi,3000m,6144Mi,2500m,1946Mi,13150m,15099Mi,11200m,4099Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,6632Mi,100m,1658Mi,1250m,1260Mi,100m,256Mi
p2-php-v0,N/A,N/A,N/A,N/A,1000m,1554Mi,100m,144Mi,1500m,9000Mi,100m,3186Mi,500m,198Mi,100m,198Mi,2200m,4558Mi,100m,1833Mi,5800m,7221Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,826Mi,500m,512Mi,100m,105Mi
p7-db-v0,N/A,N/A,N/A,N/A,4000m,7500Mi,2000m,1500Mi,10000m,75426Mi,2250m,22514Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2200m,1946Mi,17500m,20000Mi,17500m,6500Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,14433Mi,100m,3500Mi,1500m,1500Mi,100m,256Mi
p7-dense-v0,N/A,N/A,N/A,N/A,4000m,7500Mi,2000m,1500Mi,4500m,59570Mi,2250m,16514Mi,500m,198Mi,100m,198Mi,7000m,17000Mi,3200m,3946Mi,18500m,20000Mi,17500m,6500Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,14433Mi,100m,3500Mi,1500m,1500Mi,100m,256Mi
p4,N/A,N/A,N/A,N/A,1000m,3254Mi,100m,186Mi,2500m,25610Mi,100m,7318Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,100m,1946Mi,7000m,10400Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,2000m,3555Mi,100m,1241Mi,2000m,1024Mi,100m,256Mi
p3-db-v0,N/A,N/A,N/A,N/A,1000m,1880Mi,100m,144Mi,3500m,24643Mi,100m,3919Mi,500m,198Mi,100m,198Mi,2500m,5013Mi,100m,1946Mi,4600m,5538Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2555Mi,100m,879Mi,500m,512Mi,100m,105Mi
p9,N/A,N/A,N/A,N/A,4000m,9900Mi,3000m,1500Mi,5500m,92000Mi,2750m,27000Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,4000m,1946Mi,24500m,33000Mi,24500m,8900Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,3000m,22500Mi,100m,5500Mi,4500m,3500Mi,100m,256Mi
p5-php-xl-v0,N/A,N/A,N/A,N/A,2000m,4777Mi,1000m,500Mi,4200m,41815Mi,1500m,11151Mi,500m,198Mi,100m,198Mi,3000m,6144Mi,2500m,1946Mi,18000m,24000Mi,13500m,8692Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,6632Mi,100m,1658Mi,1250m,1260Mi,100m,256Mi
p2-dense-v0,N/A,N/A,N/A,N/A,1000m,1088Mi,100m,144Mi,1500m,6700Mi,100m,3186Mi,500m,99Mi,100m,99Mi,3000m,8444Mi,100m,1833Mi,5000m,6712Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,826Mi,500m,512Mi,100m,105Mi
p2-db-v0,N/A,N/A,N/A,N/A,1000m,1554Mi,100m,144Mi,3300m,11098Mi,100m,3186Mi,500m,198Mi,100m,198Mi,2200m,4558Mi,100m,1833Mi,4000m,5538Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,826Mi,500m,512Mi,100m,105Mi
p10,N/A,N/A,N/A,N/A,4000m,11100Mi,3500m,1500Mi,6000m,105500Mi,3000m,31000Mi,500m,198Mi,100m,198Mi,4000m,6144Mi,4000m,1946Mi,28000m,37500Mi,28000m,10100Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,3000m,26500Mi,100m,6500Mi,5000m,4000Mi,100m,256Mi
p5-dense-xl-v0,N/A,N/A,N/A,N/A,2000m,4777Mi,1000m,500Mi,3000m,32440Mi,1500m,11151Mi,500m,198Mi,100m,198Mi,4000m,28610Mi,3200m,16000Mi,10500m,12000Mi,10500m,4000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,2000m,6632Mi,100m,1658Mi,2500m,1500Mi,100m,256Mi
p1-php-v2,N/A,N/A,N/A,N/A,1000m,904Mi,100m,144Mi,1000m,4121Mi,100m,1718Mi,500m,198Mi,100m,198Mi,1800m,4144Mi,100m,1607Mi,4500m,9635Mi,100m,2881Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,719Mi,500m,512Mi,100m,105Mi
p9-dense-v0,N/A,N/A,N/A,N/A,4000m,9900Mi,3000m,1500Mi,5500m,81144Mi,2750m,23000Mi,500m,198Mi,100m,198Mi,10000m,24000Mi,4000m,5946Mi,25500m,28000Mi,24500m,8900Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,22500Mi,100m,5500Mi,1500m,1500Mi,100m,256Mi
p6-db-v0,N/A,N/A,N/A,N/A,3000m,6299Mi,1500m,1000Mi,9000m,62621Mi,3000m,37573Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2200m,1946Mi,14000m,16000Mi,14000m,5333Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,10430Mi,100m,2608Mi,1250m,1500Mi,100m,256Mi
p2,N/A,N/A,N/A,N/A,1000m,1088Mi,100m,144Mi,1500m,9000Mi,100m,3186Mi,500m,99Mi,100m,99Mi,3000m,6144Mi,100m,1833Mi,4000m,6712Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,2429Mi,100m,826Mi,1000m,512Mi,100m,105Mi
p7-php-v0,N/A,N/A,N/A,N/A,4000m,7500Mi,2000m,1500Mi,5500m,67926Mi,2250m,18514Mi,500m,198Mi,100m,198Mi,3000m,6144Mi,2200m,1946Mi,21000m,23012Mi,18500m,6500Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,14433Mi,100m,3500Mi,1500m,1500Mi,100m,256Mi
p9-dense-xl-v0,N/A,N/A,N/A,N/A,4000m,9900Mi,3000m,1500Mi,5500m,75125Mi,2750m,27000Mi,500m,198Mi,100m,198Mi,4000m,66757Mi,4000m,25000Mi,24500m,28000Mi,24500m,8900Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,3000m,22500Mi,100m,5500Mi,4500m,3500Mi,100m,256Mi
p3-dense-v0,N/A,N/A,N/A,N/A,1000m,1316Mi,100m,144Mi,2000m,19700Mi,100m,3919Mi,500m,99Mi,100m,99Mi,3000m,9044Mi,100m,1946Mi,5600m,7210Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2555Mi,100m,879Mi,500m,512Mi,100m,105Mi
p0-php-v0,N/A,N/A,N/A,N/A,1000m,579Mi,100m,144Mi,1000m,3147Mi,100m,1718Mi,500m,198Mi,100m,198Mi,1500m,4144Mi,100m,1607Mi,4100m,6144Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,719Mi,500m,512Mi,100m,105Mi
p1,N/A,N/A,N/A,N/A,1000m,633Mi,100m,144Mi,1000m,4121Mi,100m,1718Mi,500m,99Mi,100m,99Mi,3000m,6144Mi,100m,1607Mi,2300m,6517Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,2429Mi,100m,719Mi,1000m,512Mi,100m,105Mi
p10-db-xl-v0,N/A,N/A,N/A,N/A,4000m,11100Mi,3500m,1500Mi,35000m,150020Mi,20000m,50068Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2500m,1946Mi,16000m,30000Mi,13000m,10000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,26500Mi,100m,6500Mi,1500m,1500Mi,100m,256Mi
p5-db-xl-v0,N/A,N/A,N/A,N/A,2000m,4777Mi,1000m,500Mi,18000m,64373Mi,9000m,38624Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2000m,1946Mi,6000m,12000Mi,6000m,4000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,6632Mi,100m,1658Mi,1250m,1260Mi,100m,256Mi
p8-php-v0,N/A,N/A,N/A,N/A,4000m,8700Mi,2500m,1500Mi,6000m,81000Mi,2500m,23000Mi,500m,198Mi,100m,198Mi,3000m,6144Mi,3000m,1946Mi,25500m,27500Mi,22000m,7700Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,18500Mi,100m,4500Mi,1500m,1500Mi,100m,256Mi
p1-php-v1,N/A,N/A,N/A,N/A,1000m,904Mi,100m,144Mi,1000m,4121Mi,100m,1718Mi,500m,198Mi,100m,198Mi,1800m,4144Mi,100m,1607Mi,4500m,7635Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,719Mi,500m,512Mi,100m,105Mi
p6-dense-v0,N/A,N/A,N/A,N/A,3000m,6299Mi,1500m,1000Mi,4000m,50265Mi,2000m,14871Mi,500m,198Mi,100m,198Mi,6750m,14000Mi,3200m,1946Mi,14000m,16000Mi,14000m,5333Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,10430Mi,100m,2608Mi,1250m,1500Mi,100m,256Mi
